Year,Version,Category_Name,SubCategory_Name,Project_Code,Project_Name,Funding_Source,Total,Thru FY23,Est FY24,Total6,FY 25,FY 26,FY 27,FY 28,FY 29,FY 30,Beyond
2025,Approved,M-NCPPC,Development,P078704,Germantown Town Center Urban Park,Contributions,300,300,0,0,0,0,0,0,0,0,0
2025,Approved,M-NCPPC,Development,P078704,Germantown Town Center Urban Park,M-NCPPC Bonds,4556,4352,204,0,0,0,0,0,0,0,0
2025,Approved,M-NCPPC,Development,P078704,Germantown Town Center Urban Park,Program Open Space,2950,2950,0,0,0,0,0,0,0,0,0
2025,Approved,M-NCPPC,Development,P078705,Greenbriar Local Park,Contributions,300,300,0,0,0,0,0,0,0,0,0
2025,Approved,M-NCPPC,Development,P078705,Greenbriar Local Park,M-NCPPC Bonds,1079,1079,0,0,0,0,0,0,0,0,0
2025,Approved,M-NCPPC,Development,P078705,Greenbriar Local Park,Program Open Space,3028,3028,0,0,0,0,0,0,0,0,0
2025,Approved,M-NCPPC,Development,P078706,North Four Corners Local Park,M-NCPPC Bonds,4304,4301,3,0,0,0,0,0,0,0,0
2025,Approved,Housing Opportunities Commission,Housing (HOC),P091501,Supplemental Funds for Deeply Subsidized HOC Owned Units Improvements,Current Revenue: General,19875,7062,5313,7500,1250,1250,1250,1250,1250,1250,0
2025,Approved,Montgomery College,Higher Education,P096600,Capital Renewal: College,G.O. Bonds,36846,19153,5693,12000,2000,2000,2000,2000,2000,2000,0
2025,Approved,Montgomery College,Higher Education,P096601,Instructional Furniture and Equipment: College,Current Revenue: General,5880,2631,1629,1620,270,270,270,270,270,270,0
2025,Approved,M-NCPPC,Development,P098702,Evans Parkway Neighborhood Park,M-NCPPC Bonds,981,981,0,0,0,0,0,0,0,0,0
2025,Approved,M-NCPPC,Development,P098702,Evans Parkway Neighborhood Park,Program Open Space,2670,2670,0,0,0,0,0,0,0,0,0
2025,Approved,Public Safety,Other Public Safety,P100300,Judicial Center Annex,Current Revenue: General,330,330,0,0,0,0,0,0,0,0,0
2025,Approved,Public Safety,Other Public Safety,P100300,Judicial Center Annex,G.O. Bonds,129991,129962,29,0,0,0,0,0,0,0,0
2025,Approved,Public Safety,Other Public Safety,P100300,Judicial Center Annex,Land Sale,4457,4457,0,0,0,0,0,0,0,0,0
2025,Approved,Public Safety,Other Public Safety,P100300,Judicial Center Annex,Recordation Tax Premium (MCG),5180,5180,0,0,0,0,0,0,0,0,0
2025,Approved,Public Safety,Other Public Safety,P100300,Judicial Center Annex,State Aid,670,670,0,0,0,0,0,0,0,0,0
2025,Approved,WSSC,Water Bi-County,P113803,Large Diameter Water Pipe Rehabilitation Program,WSSC Bonds,630569,0,58369,572200,72997,76301,83095,115818,107593,116396,0
2025,Approved,WSSC,Sewerage Bi-County,P113804,Blue Plains: Pipelines and Appurtenances,Municipal (WSSC Only),20439,0,1612,13856,1121,1545,1902,3743,3947,1598,4971
2025,Approved,WSSC,Sewerage Bi-County,P113804,Blue Plains: Pipelines and Appurtenances,WSSC Bonds,268924,0,14840,182655,14822,17191,27486,42774,40809,39573,71429
2025,Approved,WSSC,Sewerage Bi-County,P113805,Trunk Sewer Reconstruction Program,WSSC Bonds,352539,0,55019,297520,49430,51039,46707,49028,49665,51651,0
2025,Approved,M-NCPPC,Development,P118702,Rock Creek Maintenance Facility,G.O. Bonds,9655,9635,20,0,0,0,0,0,0,0,0
2025,Approved,M-NCPPC,Development,P118703,Warner Circle Special Park,G.O. Bonds,5013,61,0,0,0,0,0,0,0,0,4952
2025,Approved,M-NCPPC,Development,P118703,Warner Circle Special Park,PAYGO,139,139,0,0,0,0,0,0,0,0,0
2025,Approved,M-NCPPC,Development,P118703,Warner Circle Special Park,State Bonds (M-NCPPC Only),1025,775,250,0,0,0,0,0,0,0,0
2025,Approved,M-NCPPC,Development,P118704,Northwest Branch Recreational Park-Athletic Area,G.O. Bonds,5040,190,0,250,0,0,0,250,0,0,4600
2025,Approved,M-NCPPC,Development,P118704,Northwest Branch Recreational Park-Athletic Area,PAYGO,160,160,0,0,0,0,0,0,0,0,0
2025,Approved,M-NCPPC,Development,P128701,ADA Compliance:  Local Parks,M-NCPPC Bonds,11767,4883,2334,4550,800,750,750,750,750,750,0
2025,Approved,M-NCPPC,Development,P128702,ADA Compliance:  Non-Local Parks,Current Revenue: General,702,251,151,300,50,50,50,50,50,50,0
2025,Approved,M-NCPPC,Development,P128702,ADA Compliance:  Non-Local Parks,G.O. Bonds,11964,3991,2273,5700,950,950,950,950,950,950,0
2025,Approved,M-NCPPC,Development,P128702,ADA Compliance:  Non-Local Parks,State Aid,200,100,100,0,0,0,0,0,0,0,0
2025,Approved,M-NCPPC,Development,P128702,ADA Compliance:  Non-Local Parks,PAYGO,1882,1882,0,0,0,0,0,0,0,0,0
2025,Approved,WSSC,Water Bi-County,P133800,Potomac WFP Main Zone Pipeline,WSSC Bonds,49769,815,226,48728,1944,2034,8136,14691,14691,7232,0
2025,Approved,WSSC,Water Bi-County,P133800,Potomac WFP Main Zone Pipeline,System Development Charge,71619,1173,325,70121,2797,2927,11709,21140,21140,10408,0
2025,Approved,Montgomery College,Higher Education,P136600,Germantown Science & Applied Studies Phase 1-Renov,G.O. Bonds,21144,20754,388,2,1,1,0,0,0,0,0
2025,Approved,Montgomery College,Higher Education,P136600,Germantown Science & Applied Studies Phase 1-Renov,State Aid,19923,19533,388,2,1,1,0,0,0,0,0
2025,Approved,M-NCPPC,Development,P138701,Elm Street Urban Park,M-NCPPC Bonds,1613,243,428,0,0,0,0,0,0,0,942
2025,Approved,M-NCPPC,Development,P138702,Kemp Mill Urban Park,M-NCPPC Bonds,4810,4801,9,0,0,0,0,0,0,0,0
2025,Approved,M-NCPPC,Development,P138702,Kemp Mill Urban Park,Program Open Space,1000,1000,0,0,0,0,0,0,0,0,0
2025,Approved,M-NCPPC,Development,P138703,Little Bennett Regional Park Day Use Area,G.O. Bonds,11044,22,28,0,0,0,0,0,0,0,10994
2025,Approved,M-NCPPC,Development,P138703,Little Bennett Regional Park Day Use Area,Program Open Space,3523,0,0,0,0,0,0,0,0,0,3523
2025,Approved,M-NCPPC,Development,P138705,Woodside Urban Park,M-NCPPC Bonds,885,797,88,0,0,0,0,0,0,0,0
2025,Approved,General Government,Economic Development,P150401,Wheaton Redevelopment Program,Contributions,862,862,0,0,0,0,0,0,0,0,0
2025,Approved,General Government,Economic Development,P150401,Wheaton Redevelopment Program,Current Revenue: General,1212,780,432,0,0,0,0,0,0,0,0
2025,Approved,General Government,Economic Development,P150401,Wheaton Redevelopment Program,Current Revenue: Permitting Services,20991,20991,0,0,0,0,0,0,0,0,0
2025,Approved,General Government,Economic Development,P150401,Wheaton Redevelopment Program,State Aid,750,750,0,0,0,0,0,0,0,0,0
2025,Approved,General Government,Economic Development,P150401,Wheaton Redevelopment Program,Recordation Tax Premium (MCG),3000,3000,0,0,0,0,0,0,0,0,0
2025,Approved,General Government,Economic Development,P150401,Wheaton Redevelopment Program,Federal Aid,418,417,1,0,0,0,0,0,0,0,0
2025,Approved,General Government,Economic Development,P150401,Wheaton Redevelopment Program,G.O. Bonds,59375,56230,3145,0,0,0,0,0,0,0,0
2025,Approved,General Government,Economic Development,P150401,Wheaton Redevelopment Program,Land Sale,12650,12650,0,0,0,0,0,0,0,0,0
2025,Approved,General Government,Economic Development,P150401,Wheaton Redevelopment Program,Long-Term Financing,39818,39818,0,0,0,0,0,0,0,0,0
2025,Approved,General Government,Economic Development,P150401,Wheaton Redevelopment Program,PAYGO,31376,31376,0,0,0,0,0,0,0,0,0
2025,Approved,General Government,Economic Development,P150401,Wheaton Redevelopment Program,Current Revenue: Solid Waste Disposal,8876,8876,0,0,0,0,0,0,0,0,0
2025,Approved,General Government,Economic Development,P151200,White Flint Redevelopment Program,White Flint Special Tax District,3636,3560,76,0,0,0,0,0,0,0,0
2025,Approved,WSSC,Sewerage Bi-County,P163800,Land & Rights-of-Way Acquisition - Bi-County (S),System Development Charge,464,0,0,464,298,166,0,0,0,0,0
2025,Approved,WSSC,Sewerage Bi-County,P163800,Land & Rights-of-Way Acquisition - Bi-County (S),WSSC Bonds,1701,0,195,1506,297,429,195,195,195,195,0
2025,Approved,WSSC,Water Bi-County,P173801,Potomac WFP Consent Decree Program,WSSC Bonds,206212,61126,56566,88520,55914,32606,0,0,0,0,0
2025,Approved,General Government,Other General Government,P316222,ALARF: MCG,Revolving Fund: G.O. Bonds,12532,0,12532,0,0,0,0,0,0,0,0
2025,Approved,General Government,Technology Services,P340901,Public Safety System Modernization,Current Revenue: General,12962,10221,1096,1645,769,876,0,0,0,0,0
2025,Approved,General Government,Technology Services,P340901,Public Safety System Modernization,Federal Aid,2947,2768,179,0,0,0,0,0,0,0,0
2025,Approved,General Government,Technology Services,P340901,Public Safety System Modernization,G.O. Bonds,48259,46312,1947,0,0,0,0,0,0,0,0
2025,Approved,General Government,Technology Services,P340901,Public Safety System Modernization,Short-Term Financing,39567,38278,1289,0,0,0,0,0,0,0,0
2025,Approved,General Government,Technology Services,P340901,Public Safety System Modernization,Contributions,32,32,0,0,0,0,0,0,0,0,0
2025,Approved,General Government,Technology Services,P340901,Public Safety System Modernization,PAYGO,2902,2902,0,0,0,0,0,0,0,0,0
2025,Approved,General Government,Technology Services,P340901,Public Safety System Modernization,Recordation Tax Premium (MCG),3093,2800,293,0,0,0,0,0,0,0,0
2025,Approved,General Government,Technology Services,P341700,Digital Equity - Montgomery Connects,Current Revenue: Cable TV,9687,3330,679,5678,1845,1020,773,680,680,680,0
2025,Approved,General Government,Technology Services,P341700,Digital Equity - Montgomery Connects,Current Revenue: General,2380,478,983,919,52,580,287,0,0,0,0
2025,Approved,General Government,Technology Services,P341700,Digital Equity - Montgomery Connects,State Aid,9000,0,0,9000,3000,3000,3000,0,0,0,0
2025,Approved,General Government,County Offices and Other Improvements,P360903,MCPS Bus Depot and Maintenance Relocation,G.O. Bonds,212,204,8,0,0,0,0,0,0,0,0
2025,Approved,General Government,County Offices and Other Improvements,P360903,MCPS Bus Depot and Maintenance Relocation,PAYGO,1501,1501,0,0,0,0,0,0,0,0,0
2025,Approved,General Government,County Offices and Other Improvements,P360903,MCPS Bus Depot and Maintenance Relocation,Recordation Tax Premium (MCG),47,47,0,0,0,0,0,0,0,0,0
2025,Approved,General Government,County Offices and Other Improvements,P360903,MCPS Bus Depot and Maintenance Relocation,Current Revenue: General,3750,0,250,3500,1000,2500,0,0,0,0,0
2025,Approved,General Government,County Offices and Other Improvements,P361103,EOB HVAC Renovation,G.O. Bonds,4105,126,3979,0,0,0,0,0,0,0,0
2025,Approved,General Government,County Offices and Other Improvements,P361103,EOB HVAC Renovation,PAYGO,123,123,0,0,0,0,0,0,0,0,0
2025,Approved,General Government,County Offices and Other Improvements,P361103,EOB HVAC Renovation,Recordation Tax Premium (MCG),144,144,0,0,0,0,0,0,0,0,0
2025,Approved,General Government,County Offices and Other Improvements,P361107,Americans with Disabilities Act (ADA): Compliance,Current Revenue: General,5055,936,1119,3000,500,500,500,500,500,500,0
2025,Approved,General Government,County Offices and Other Improvements,P361107,Americans with Disabilities Act (ADA): Compliance,G.O. Bonds,49529,16909,9220,23400,3400,4400,3400,3900,4400,3900,0
2025,Approved,General Government,County Offices and Other Improvements,P361107,Americans with Disabilities Act (ADA): Compliance,PAYGO,11364,11364,0,0,0,0,0,0,0,0,0
2025,Approved,General Government,County Offices and Other Improvements,P361107,Americans with Disabilities Act (ADA): Compliance,Recordation Tax Premium (MCG),6572,6572,0,0,0,0,0,0,0,0,0
2025,Approved,Culture and Recreation,Libraries,P361202,Wheaton Library and Community Recreation Center,Current Revenue: General,677,336,341,0,0,0,0,0,0,0,0
2025,Approved,Culture and Recreation,Libraries,P361202,Wheaton Library and Community Recreation Center,G.O. Bonds,25614,25547,67,0,0,0,0,0,0,0,0
2025,Approved,Culture and Recreation,Libraries,P361202,Wheaton Library and Community Recreation Center,PAYGO,42352,42352,0,0,0,0,0,0,0,0,0
2025,Approved,Culture and Recreation,Libraries,P361202,Wheaton Library and Community Recreation Center,State Aid,200,200,0,0,0,0,0,0,0,0,0
2025,Approved,Culture and Recreation,Libraries,P361202,Wheaton Library and Community Recreation Center,Recordation Tax Premium (MCG),16,16,0,0,0,0,0,0,0,0,0
2025,Approved,General Government,County Offices and Other Improvements,P361302,Energy Systems Modernization,G.O. Bonds,55,55,0,0,0,0,0,0,0,0,0
2025,Approved,General Government,County Offices and Other Improvements,P361302,Energy Systems Modernization,Long-Term Financing,19568,19568,0,0,0,0,0,0,0,0,0
2025,Approved,General Government,County Offices and Other Improvements,P361302,Energy Systems Modernization,PAYGO,1797,1797,0,0,0,0,0,0,0,0,0
2025,Approved,General Government,County Offices and Other Improvements,P361501,Building Envelope Repair,G.O. Bonds,24665,9357,4658,10650,2900,1550,1550,1550,1550,1550,0
2025,Approved,General Government,Economic Development,P361701,White Oak Science Gateway Redevelopment Project,Current Revenue: General,160,71,89,0,0,0,0,0,0,0,0
2025,Approved,General Government,Economic Development,P361701,White Oak Science Gateway Redevelopment Project,G.O. Bonds,42640,1076,2564,39000,275,1000,1000,6900,22100,7725,0
2025,Approved,General Government,Economic Development,P361701,White Oak Science Gateway Redevelopment Project,PAYGO,4147,4147,0,0,0,0,0,0,0,0,0
2025,Approved,General Government,Economic Development,P361701,White Oak Science Gateway Redevelopment Project,Recordation Tax Premium (MCG),13,13,0,0,0,0,0,0,0,0,0
2025,Approved,Revenue Authority,Miscellaneous Projects (Revenue Authority),P391801,Crossvines Poolesville Economic Development Project,Revenue Authority,16907,16907,0,0,0,0,0,0,0,0,0
2025,Approved,Revenue Authority,Miscellaneous Projects (Revenue Authority),P391801,Crossvines Poolesville Economic Development Project,State Aid,3000,3000,0,0,0,0,0,0,0,0,0
2025,Approved,Public Safety,Correction and Rehabilitation,P420900,Pre-Release Center Dietary Facilities Improvements,G.O. Bonds,3944,3531,413,0,0,0,0,0,0,0,0
2025,Approved,Public Safety,Correction and Rehabilitation,P420900,Pre-Release Center Dietary Facilities Improvements,State Aid,3061,3061,0,0,0,0,0,0,0,0,0
2025,Approved,Public Safety,Correction and Rehabilitation,P421100,Justice Center,G.O. Bonds,46696,1415,0,45281,1282,1281,17034,24580,1104,0,0
2025,Approved,Public Safety,Correction and Rehabilitation,P421100,Justice Center,State Aid,45281,0,0,45281,1282,1281,17034,24580,1104,0,0
2025,Approved,Public Safety,Correction and Rehabilitation,P421100,Justice Center,PAYGO,13,13,0,0,0,0,0,0,0,0,0
2025,Approved,Public Safety,Correction and Rehabilitation,P421100,Justice Center,Recordation Tax Premium (MCG),51,51,0,0,0,0,0,0,0,0,0
2025,Approved,Public Safety,Fire/Rescue Service,P450105,Rockville Fire Station 3 Renovation,Current Revenue: Fire,500,0,0,500,0,500,0,0,0,0,0
2025,Approved,Public Safety,Fire/Rescue Service,P450300,Clarksburg Fire Station,G.O. Bonds,25805,18502,7303,0,0,0,0,0,0,0,0
2025,Approved,Public Safety,Fire/Rescue Service,P450300,Clarksburg Fire Station,Intergovernmental,2533,2533,0,0,0,0,0,0,0,0,0
2025,Approved,Public Safety,Fire/Rescue Service,P450300,Clarksburg Fire Station,G.O. Bond Premium,4230,0,4230,0,0,0,0,0,0,0,0
2025,Approved,Public Safety,Fire/Rescue Service,P450302,Fire Stations: Life Safety Systems,G.O. Bonds,4110,4110,0,0,0,0,0,0,0,0,0
2025,Approved,Public Safety,Fire/Rescue Service,P450302,Fire Stations: Life Safety Systems,Current Revenue: Fire,856,76,120,660,110,110,110,110,110,110,0
2025,Approved,Public Safety,Fire/Rescue Service,P450305,Female Facility Upgrade,G.O. Bonds,3030,1755,474,801,301,0,0,0,0,500,0
2025,Approved,Public Safety,Fire/Rescue Service,P450700,FS Emergency Power System Upgrade,Current Revenue: General,8,8,0,0,0,0,0,0,0,0,0
